,,,,,,,,,,
,,,,,,,,,,
Paws  of Fury: The Legend of Hank/Blazing Samurai/Blazing  Warrior,2022,"英国,美国",喜剧 / 动作 / 动画 /  冒险,国英双语,中文,2022-07-15(美国) /  2022-11-12(中国大陆),,,98分钟,克里斯&middot;贝利 Chris Bailey
Lisa  Frankenstein,2024,美国,喜剧 / 爱情 / 恐怖 /  奇幻,英语,中英双字,2024-02-09(美国),,,101分钟,泽尔妲&middot;威廉斯 Zelda  Williams
,,,,,,,,,,
"1秒先の彼/My Missing Valentine/One Second Ahead, One Second  Behind",2023,日本,喜剧/爱情/奇幻,日语,中文,2023-06-10(上海国际电影节)  / 2023-07-07(日本),,,120分钟,山下敦弘 Nobuhiro Yamashita
,,,,,,,,,,
Aquaman and the Lost Kingdom/Aquaman  2,2023,美国,动作 / 科幻 / 奇幻 /  冒险,国英双语,中文,2023-12-20(中国大陆) /  2023-12-22(美国),,,124分钟,温子仁 James Wan
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Perfect  Days,2023,"日本,德国",剧情,"日语,英语",中文,2023-05-25(戛纳电影节)  / 2023-12-21(德国) / 2023-12-22(日本),,,123分钟,维姆&middot;文德斯 Wim  Wenders
,,,,,,,,,,
,,,,,,,,,,
The  Seeding,2023,美国,惊悚/恐怖,英语,中英双字,2023-06(美国),,,100分钟,Barnaby  Clay
�R�r劫案,2024,"中国大陆,中国香港",喜剧/动作/犯罪,国粤双语,中文,2024-01-19(中国大陆),,,97分钟,麦启光  Albert Kai-kwong Mak
,,,,,,,,,,
,,,,,,,,,,
Argylle,2024,"英国,美国",动作/惊悚,英语,中英双字,2024-01-31(法国)  / 2024-02-02(美国) / 2024-02-23(中国大陆),,,139分钟,马修&middot;沃恩 Matthew  Vaughn
花千骨/花千骨电影版,2024,中国大陆,动作/爱情/奇幻,普通话,中文,2024-01-20(中国大陆),,,97分钟,张超理 Chaoli  Zhang
,,,,,,,,,,
,,,,,,,,,,
