阿凡达, 詹姆斯·卡梅隆 James Cameron, 萨姆·沃辛顿 Sam Worthington ...,2009,8.8,1474051人评价
拯救大兵瑞恩, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,1998,9.1,673321人评价
飞越疯人院, 米洛斯·福尔曼 Miloš Forman, 杰克·尼科尔森 Jack Nichols...,1975,9.1,566752人评价
小鞋子, 马基德·马基迪 Majid Majidi, 默罕默德·阿米尔·纳吉 Mohamma...,1997,9.2,428035人评价
功夫, 周星驰 Stephen Chow, 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,8.8,1200640人评价
沉默的羔羊, 乔纳森·戴米 Jonathan Demme, 朱迪·福斯特 Jodie Foster / 安...,1991,8.9,931553人评价
布达佩斯大饭店, 韦斯·安德森 Wes Anderson, 拉尔夫·费因斯 Ralph Fiennes / ...,2014,8.9,989629人评价
禁闭岛, Martin Scorsese, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,8.9,1022985人评价
蝴蝶效应, 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber, 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,9.0,776697人评价
致命魔术, 克里斯托弗·诺兰 Christopher Nolan, 休·杰克曼 Hugh Jackman...,2006,8.9,896091人评价
心灵捕手, 格斯·范·桑特 Gus Van Sant, 马特·达蒙 Matt Damon / 罗宾·...,1997,9.0,749829人评价
超脱, 托尼·凯耶 Tony Kaye, 艾德里安·布洛迪 Adrien Brody / 马西...,2011,9.0,643814人评价
低俗小说, 昆汀·塔伦蒂诺 Quentin Tarantino, 约翰·特拉沃尔塔 John Tra...,1994,8.9,873905人评价
摩登时代, 查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ...,1936,9.3,316525人评价
春光乍泄, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,9.0,659456人评价
海豚湾, 路易·西霍尤斯 Louie Psihoyos, 路易·西霍尤斯 Louie Psihoyo...,2009,9.3,366053人评价
喜剧之王, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee, 周星驰 Stephen Ch...,1999,8.8,1009755人评价
美国往事, 赛尔乔·莱翁内 Sergio Leone, 罗伯特·德尼罗 Robert De Niro ...,1984,9.2,430883人评价
致命ID, 詹姆斯·曼高德 James Mangold, 约翰·库萨克 John Cusack / 雷...,2003,8.9,865721人评价
杀人回忆, 奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,8.9,755735人评价
哈利·波特与密室, Chris Columbus, 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,8.9,803984人评价
红辣椒, 今敏 Satoshi Kon, 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,9.1,497838人评价
加勒比海盗, 戈尔·维宾斯基 Gore Verbinski, 约翰尼·德普 Johnny Depp / ...,2003,8.8,896276人评价
七宗罪, 大卫·芬奇 David Fincher, 摩根·弗里曼 Morgan Freeman / 布...,1995,8.8,976722人评价
一一, 杨德昌 Edward Yang, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,9.1,425524人评价
狩猎, 托马斯·温特伯格 Thomas Vinterberg, 麦斯·米科尔森 Mads Mik...,2012,9.1,415741人评价
唐伯虎点秋香, 李力持 Lik-Chi Lee, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,8.7,1128136人评价
7号房的礼物, 李焕庆 Hwan-kyeong Lee, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,8.9,579710人评价
被嫌弃的松子的一生, 中岛哲也 Tetsuya Nakashima, 中谷美纪 Miki Nakatani / 瑛太 E...,2006,8.9,728526人评价
蝙蝠侠：黑暗骑士崛起, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...,2012,8.9,754192人评价
甜蜜蜜, 陈可辛 Peter Chan, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,8.9,595802人评价
爱在黎明破晓前, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,1995,8.8,719603人评价
请以你的名字呼唤我, 卢卡·瓜达尼诺 Luca Guadagnino, 艾米·汉莫 Armie Hammer / ...,2017,8.8,757029人评价
